MEDIENNR;VERFASSERIN;TITEL;MEDIENGRUPPE;SYSTEMATIK;ANZAHL_AUSLEIHEN;ANZAHL_TITEL
1190017;Preußler, Otfried;¬Die¬ kleine Hexe;Buch;JM.H;347;42
0707427;Osborne, Mary Pope;Im Land der ersten Siedler;Buch;JM;346;29
1041455;Chapman, Linda;Kopf hoch, Saphira!;Buch;JE.NP;345;30
0938276;Sharmat, Marjorie Weinman;Nick Nase und das Rätsel am Strand;Buch;JE.C;345;36
1157781;Ware, Bronnie;5 Dinge, die Sterbende am meisten bereuen;Buch;NN.EMW;344;24
1171696;Tarantino, Quentin;Django unchained;DVD;TT.KT.09;344;44
1186925;Dam, J. F.;¬Der¬ dritte Berg;Buch;DR.E;344;41
1017084;Leon, Donna;Schöner Schein;Buch;DR.D;344;56
1196832;Brezina, Thomas;Detektive - bleibt auf der Spur!;Buch;JM.D;343;40
1115974;Hunter, Erin;¬Die¬ Suche beginnt;Buch;JM.F;343;41
1228782;Siegner, Ingo;¬Der¬ kleine Drache Kokosnuss und der geheimnisvolle Tempel;Buch;JM;343;40
1163565;Dahl, Arne;Zorn;Buch;DR.E;343;43
0962222;Leon, Donna;¬Das¬ Mädchen seiner Träume;Buch;DR.D;343;76
1068251;Wich, Henriette;Achtung, Promihochzeit!;Buch;JE.D;342;28
1173454;Breitenöder, Julia;¬Die¬ verschwundenen Buchstaben;Buch;JM.C;342;33
1118254;Kipling, Rudyard;¬Das¬ Dschungelbuch;Buch;JM.CM;342;39
1218397;Brezina, Thomas;Rettet den Pony-Express;Buch;JM.D;342;39
1086325;Grimm, Sandra;¬Der¬ Schatz im Einhornwald;Buch;JM.CO;341;27
1191195;Hoßfeld, Dagmar;Conni, Phillip und ein Kuss im Schnee;Buch;JE;341;33
1198425;Luhrmann, Baz;¬Der¬ große Gatsby;DVD;TT.KT.15;341;39
1229501;Lawrence, Francis;Catching fire;DVD;TT.JM;340;38
1190490;Hart, James V.;Epic;DVD;TT.JD.C;340;35
1149806;Vermes, Timur;Er ist wieder da;Buch;DR;340;44
1050636;Grün, Max ¬von der¬;Vorstadtkrokodile 2;DVD;TT.JE;340;68
1011302;Hunter, Erin;Stunde der Finsternis;Buch;JM.F;340;39
1160758;Läckberg, Camilla;¬Der¬ Leuchtturmwärter;Buch;DR.D;340;40
1190126;Bonyhady, Tim;Wohllebengasse;Buch;GE.HWO;340;26
1199910;Vogel, David;¬Eine¬ Wiener Romanze;Buch;DR;339;39
1115971;Hunter, Erin;Sonnenuntergang;Buch;JM.F;339;39
1128948;Mankell, Henning;Erinnerung an einen schmutzigen Engel;Buch;DR;339;49
1197339;F., Christiane;Christiane F.;Buch;NN.EMW;339;32
1214263;Schroeder, Renée;Von Menschen, Zellen und Waschmaschinen;Buch;GS.BP;338;41
1120167;Chidolue, Dagmar;Millie in Wien;Buch;JE;338;39
1186658;Lercher, Lisa;Mord im besten Alter;Buch;DR.D;337;33
1068270;Chapman, Linda;Im Zauberwald;Buch;JE.NP;337;29
1214307;Maar, Paul;¬Der¬ Buchstaben-Zauberer;Buch;JM.C;337;41
1130232;Ohlsson, Kristina;Tausendschön;Buch;DR.E;337;40
0634459;Siegner, Ingo;¬Der¬ kleine Drache Kokosnuss kommt in die Schule;Buch;JM;336;26
1098499;Scheffler, Ursel;Paula und der Sonntagshund;Buch;JE.C;336;28
1169354;Neubauer, Annette;¬Eine¬ Einladung ins Ballett;Buch;JE.C;336;25
1034749;Noll, Ingrid;Ehrenwort;Buch;DR.D;335;44
1199166;Wandrey, Guido;¬Das¬ Winter-Wimmelbuch;Buch;JD.W;335;38
1071637;Walker, Martin;Schwarze Diamanten;Buch;DR.D;334;38
1214998;Hunter, Erin;¬Der¬ vierte Schüler;Buch;JM.F;334;37
1067382;Meyerhoff, Joachim;Amerika;Buch;DR;334;30
1036524;Gier, Kerstin;Smaragdgrün. Liebe geht durch alle Zeiten;Buch;JM.F;334;30
1041516;Wich, Henriette;Tatort Filmset;Buch;JE.D;334;28
1168595;Klein, Martin;Ronja und das Zauberpony;Buch;JM.C;334;42
1164663;Roberts, Nora;¬Die¬ letzte Zeugin;Buch;DR.E;334;39
1191954;Franz, Andreas;Teufelsbande;Buch;DR.D;333;35
1179408;Maxian, Beate;Tod hinter dem Stephansdom;Buch;DR.D;333;32
1216140;Hayder, Mo;¬Die¬ Puppe;Buch;DR.E;333;35
0634321;Osborne, Mary Pope;Abenteuer in Olympia;Buch;JM;333;29
1006513;Suter, Martin;¬Der¬ Koch;Buch;DR;333;56
1217384;Kneifl, Edith;Satansbraut;Buch;DR.D;333;38
1125940;Markaris, Petros;Zahltag;Buch;DR.D;332;48
1187887;Gehm, Franziska;¬Ein¬ Date mit Bissverständnis;Buch;JM.G;332;32
1191171;Moser, Erwin;¬Die¬ Erdmaus und der Regenschirm;Buch;JD.N;331;32
1026309;Chapman, Linda;Freundschaftszauber;Buch;JE.NP;331;33
0903177;Addai, Patrick K.;Kofi;Buch;JD;331;64
1212168;Klugman, Brian;¬Der¬ Dieb der Worte;DVD;TT.KT.14;330;40
1130258;Safier, David;Muh!;Buch;DR.L;330;45
1137895;Scheffler, Axel;¬Das¬ Gruselmonster;Buch;JD.R;330;28
1135364;Napp, Daniel;Dr. Brumm geht wandern;Buch;JD.R;330;32
1139945;Steffensmeier, Alexander;Lieselotte versteckt sich;Buch;JD.R;330;26
1124751;Dinter, Jan;Yakari - Geschichten für Erstleser;Buch;JM.CM;329;33
0988843;Geisler, Dagmar;Gespenster gehen auch zur Schule;Buch;JM.C;329;28
1218332;Camilleri, Andrea;¬Die¬ Revolution des Mondes;Buch;DR.H;329;41
1183525;Capus, Alex;¬Der¬ Fälscher, die Spionin und der Bombenbauer;Buch;DR;329;43
1146689;Seltmann, Christian;Rittergeschichten;Buch;JM.C;328;40
1200052;Yrsa Sigurðardóttir;Seelen im Eis;Buch;DR.E;328;30
1136106;Kaup, Ulrike;Lustige Reimgeschichten;Buch;JM.C;328;39
1228420;Howard, Ron;Rush - Alles für den Sieg;DVD;TT.KT.08;328;36
1121353;Reider, Katja;¬Die¬ Neue in der Klasse;Buch;JE.C;327;25
1192208;Faro, Marlene;Kalter Weihrauch;Buch;DR.D;327;28
1124071;Siegner, Ingo;¬Der¬ kleine Drache Kokosnuss besucht den Weihnachtsmann;Buch;JM.X;327;39
0987414;Knister;Hexe Lilli und Hektors verzwickte Drachenprüfung;Buch;JM.H;327;46
1129531;Allende, Isabel;Mayas Tagebuch;Buch;DR;327;50
0706059;Funke, Cornelia;Best girl friends and the horse thief [Medienkombination];Buch;JF.EE;327;70
1163498;Allen, Woody;To Rome With Love;DVD;TT.KT.01;326;38
0762231;Rossmann, Eva;Verschieden;Buch;DR.D;326;43
0434082;Knister;Hexe Lilli feiert Geburtstag;Buch;JM.C;326;34
1090843;Nesbø, Jo;¬Die¬ Larve;Buch;DR.D;326;40
1196789;Van Genechten, Guido;Ben der Schneemann;Buch;JD;326;39
0988829;Vogel, Maja ¬von¬;Für alle Fälle Emma;Buch;JE.F;326;60
1059200;Geiger, Arno;¬Der¬ alte König in seinem Exil;Buch;DR;325;54
1156559;Addai, Patrick K.;¬Ein¬ Adler bleibt immer ein Adler;Buch;JD;325;78
1130313;Neuhaus, Nele;Böser Wolf;Buch;DR.D;325;33
1022998;Chapman, Linda;Sturmwinds Geheimnis;Buch;JE.NP;324;29
1171311;Teckentrup, Britta;Ab ins Bett, kleiner Bär;Buch;JD.T;324;39
0988832;Vogel, Maja ¬von¬;Emma will's wissen;Buch;JE.F;324;58
0986202;Mai, Manfred;¬Das¬ Trojanische Pferd;Buch;JM.CO;324;34
1097055;Saldanha, Carlos;Rio;DVD;TT.JD.C;324;36
1215175;Pittler, Andreas;Charascho;Buch;DR.D;324;39
1116370;Bannalec, Jean-Luc;Bretonische Verhältnisse;Buch;DR.D;324;37
1186829;Rendell, Ruth;¬Des¬ Finders Lohn;Buch;DR.D;324;35
1169745;Hoßfeld, Dagmar;Conni, Paul und die Sache mit der Freundschaft;Buch;JE;323;31
0794573;Lindgren, Astrid;Pippi Langstrumpf;Buch;JM;323;49
0943214;Nesser, Håkan;¬Eine¬ ganz andere Geschichte;Buch;DR.D;323;64
1220346;Maurer, Jörg;Felsenfest;Buch;DR.D;322;34
1191148;Haider, Edgard;Wien 1914;Buch;GE.OBW;322;31
1136081;Lindgren, Astrid;¬Ein¬ Kalb fällt vom Himmel;Buch;JE.CO;322;39
1223175;Bannalec, Jean-Luc;Bretonisches Gold;Buch;DR.D;322;43
1214239;Boone, Josh;Love Stories - Erste Lieben, zweite Chancen;DVD;TT.KT.04;322;39
1229545;Preußler, Otfried;¬Das¬ kleine Gespenst;DVD;TT.JM;322;41
1168848;Funke, Cornelia;Geheimversteck und Geisterstunde;Buch;JM;322;40
1133534;Jones, Gareth P.;¬Der¬ Clan des Skorpions;Buch;JM;321;31
1168613;King, Stephen;Joyland;Buch;DR.E;321;42
0988841;Arold, Marliese;Lotte ist weg!;Buch;JE.C;321;24
1103318;Ohlsson, Kristina;Aschenputtel;Buch;DR.E;320;39
1017087;Walker, Martin;Grand Cru;Buch;DR.D;320;39
1151208;Jolibois, Christian;Wenn mein kleiner Bruder auf die Welt kommt;Buch;JD.R;320;44
1163536;Föhr, Andreas;Schwarze Piste;Buch;DR.D;320;41
1041517;Steckelmann, Petra;Vampire in der Nacht;Buch;JE.D;320;28
1221043;Schätzing, Frank;Breaking News;Buch;DR.E;319;33
0789213;Mauz, Christoph;Und Paul, der wird Pirat;Buch;JE.C;319;39
1107236;Falk, Rita;Schweinskopf al dente;Buch;DR.D;319;32
1140143;Reider, Katja;Dinosauriergeschichten;Buch;JM.C;319;26
1216107;Connelly, Michael;¬Der¬ Widersacher;Buch;DR.E;319;31
1183855;Chidolue, Dagmar;Millie wird Millionär;Buch;JE;318;39
1041456;Chapman, Linda;¬Ein¬ magisches Fest;Buch;JE.NP;318;31
1121334;Vogel, Maja ¬von¬;Pass auf, kleiner Seehund!;Buch;JM.CB;318;28
0991984;Niavarani, Michael;Vater Morgana;Buch;DR.L;318;57
0988396;Chapman, Linda;Geheimnisvolles Einhorn;Buch;JE.NP;318;30
1068724;Kinney, Jeff;Von Idioten umzingelt!;Buch;JE;317;27
0295584;Lobe, Mira;Bimbulli;Buch;JD;317;37
1143033;Daugherty, C. J.;Du darfst keinem trauen;Buch;JE.D;316;34
1077822;Haderlap, Maja;Engel des Vergessens;Buch;DR;316;46
0654072;Osborne, Mary Pope;Verschollen auf hoher See;Buch;JM;316;27
1088643;Glavinic, Thomas;Unterwegs im Namen des Herrn;Buch;DR;316;44
1216842;Langbein, Kurt;Weissbuch Heilung;Buch;NN.KP;316;29
0964517;Stone, Rex;¬Die¬ Attacke des Tyrannosaurus;Buch;JM;315;27
1217887;Streeruwitz, Marlene;Nachkommen;Buch;DR;315;43
1015570;Arold, Marliese;Mimi will auch ans Meer;Buch;JE.C;315;28
1038307;Osborne, Mary Pope;Abenteuer mit dem magischen Baumhaus;Buch;JM;315;31
1015466;Siegner, Ingo;¬Der¬ kleine Drache Kokosnuss und das Geheimnis der Mumie;Buch;JM;315;22
1117040;Steffensmeier, Alexander;Was schmeckt dir, Lieselotte?;Buch;JD.K;315;26
0982668;Raab, Thomas;¬Der¬ Metzger geht fremd;Buch;DR.D;315;73
1125866;Joyce, Rachel;¬Die¬ unwahrscheinliche Pilgerreise des Harold Fry;Buch;DR;314;40
1087197;Pfister, Marcus;¬Der¬ kleine Dino;Buch;JD.N;314;28
0977178;Kinney, Jeff;Greg Heffley's journal;Buch;JF.E;314;41
0894601;Landy, Derek;¬Der¬ Gentleman mit der Feuerhand;Buch;JM.D;314;33
1191906;Haran, Elizabeth;Jenseits des leuchtenden Horizonts;Buch;DR;314;30
1221039;Tartt, Donna;¬Der¬ Distelfink;Buch;DR;314;28
0733756;Osborne, Mary Pope;¬Das¬ verzauberte Spukschloss;Buch;JM;314;27
1171005;Aujourd'hui, Nicolas ¬d'¬;Frechdachs und Angsthase;Buch;JD.T;314;36
1196944;Fuchssteiner, Felix;Rubinrot;DVD;TT.KT.07;313;40
1195482;Gravier-Badreddine, Delphine;Mein großes Buch der Dinosaurier;Buch;JD.JN;313;25
1171499;Blade, Adam;Voltor, der Himmelsrächer;Buch;JM;313;28
1233991;Batra, Ritesh;Lunchbox;DVD;TT.KT.04;313;36
1112217;Bauer, Jutta;Steht im Wald ein kleines Haus;Buch;JD.K;312;42
1113902;Scheffler, Axel;¬Der¬ tolle Roller;Buch;JD.R;312;25
1198143;Ragnar Jónasson;Todesnacht;Buch;DR.E;312;29
1065978;Pfister, Marcus;¬Der¬ Regenbogenfisch stiftet Frieden;Buch;JD.R;312;32
1223765;Daniels, Lee;¬Der¬ Butler;DVD;TT.KT.12;312;36
1115240;Stone, Rex;¬Der¬ Raubzug des Coelophysis;Buch;JM;312;29
1176644;Stine, Robert L.;Mörderischer Tanz;Buch;JM.G;312;38
1214310;Lindgren, Astrid;Als Lisabet sich eine Erbse in die Nase steckte;Buch;JE.C;312;38
1182247;Weisberger, Lauren;¬Die¬ Rache trägt Prada;Buch;DR.G;312;33
1190370;Bürkl, Anni;Göttinnensturz;Buch;DR.D;311;27
0764712;Dietl, Erhard;¬Die¬ Olchis - wenn der Babysitter kommt;Buch;JD.R;311;27
0629608;Chapman, Linda;Sprung in die Nacht;Buch;JE.NP;311;27
1225302;Lind, Hera;Verwandt in alle Ewigkeit;Buch;DR;311;39
1131599;Bauer, Hermann;Nestroy-Jux;Buch;DR.D;311;36
1168453;Pantermüller, Alice;Hier steckt der Wurm drin!;Buch;JE;311;29
0545894;Nöstlinger, Christine;Mini feiert Geburtstag;Buch;JE.C;311;36
1159814;Coelho, Paulo;¬Die¬ Schriften von Accra;Buch;DR;311;49
0920474;Wich, Henriette;Gefahr im Reitstall;Buch;JE.D;311;29
1107514;Riordan, Rick;¬Die¬ rote Pyramide;Buch;JM.F;310;35
1140695;Blade, Adam;Drako, Atem des Zorns;Buch;JM.F;310;26
1082839;Nöstlinger, Christine;¬Der¬ ganze Franz;Buch;JE;310;29
1015568;Arold, Marliese;¬Ein¬ Fohlen für Lotte;Buch;JE.C;310;23
1180403;Pratchett, Terry;Dunkle Halunken;Buch;DR;310;40
1109136;Camilleri, Andrea;¬Das¬ Ritual der Rache;Buch;DR.D;310;39
0652818;Osborne, Mary Pope;Gefahr in der Feuerstadt;Buch;JM;310;27
1232460;Elsberg, Marc;Zero - Sie wissen, was du tust;Buch;DR.E;309;40
0913777;Gehm, Franziska;¬Eine¬ Freundin zum Anbeißen;Buch;JM.G;309;36
1038413;Raab, Thomas;¬Der¬ Metzger holt den Teufel;Buch;DR.D;309;45
1144938;Nikowitz, Rainer;Volksfest;Buch;DR.D;309;43
0937750;Knister;Hexe Lilli - der Drache und das magische Buch;Buch;JM.H;309;57
0987094;Wich, Henriette;Teuflisches Handy;Buch;JE.D;308;26
1215151;Roberts, Nora;Mörderische Sehnsucht;Buch;DR.D;308;35
1042816;Verne, Jules;Reise um die Erde in 80 Tagen;Buch;JM.CO;308;31
1034480;Follett, Ken;Sturz der Titanen;Buch;DR;308;71
0988830;Vogel, Maja ¬von¬;Verrückt nach Emma;Buch;JE.F;308;58
0553813;Delafosse, Claude;Wunderwelt Körper;Buch;JD.JN;308;31
1095990;Grün, Max ¬von der¬;Vorstadtkrokodile 3 - Freunde für immer;DVD;TT.JE;308;72
1086243;Zöller, Elisabeth;Stella, die Sternenfee;Buch;JM.C;307;27
0896234;McKee, David;Elmar rettet den Regenbogen;Buch;JD.R;307;31
1221041;Binchy, Maeve;¬Ein¬ Cottage am Meer;Buch;DR.G;307;35
1179191;Smith, James (Kinderbuchautor);Ich bin immer noch kein Loser;Buch;JE;307;32
1057686;Suter, Martin;Allmen und die Libellen;Buch;DR.D;307;49
1170946;Pittler, Andreas P.;¬Der¬ Fluch der Sirte;Buch;DR.D;307;37
0936987;McKee, David;Elmar zeigt's dem bösen Vogel;Buch;JD.R;306;32
0765601;Blyton, Enid;Fünf Freunde und das Ungeheuer aus der Tiefe;Buch;JE.D;306;33
0655592;Dietl, Erhard;¬Die¬ Olchis aus Schmuddelfing;Buch;JD.R;306;29
1153522;Lennox, Judith;An einem Tag im Winter;Buch;DR;305;39
1180524;Chapman, Linda;Freunde für immer;Buch;JE.NP;305;34
1176609;Blade, Adam;Rapu, der Giftkämpfer;Buch;JM;305;27
1112481;Mai, Manfred;Ecke! Elfer! Tor!;Buch;JE.C;305;29
1177948;Lindsay-Abaire, David;¬Die¬ Hüter des Lichts;DVD;TT.JD.C;305;38
1218539;Steffensmeier, Alexander;Wer versteckt sich hier, Lieselotte?;Buch;JD.K;305;39
0703478;Chapman, Linda;Sternenschweifs Geheimnis;Buch;JE.NP;305;26
0978009;Kinney, Jeff;Rodrick rules;Buch;JF.E;305;38
1163415;Brown, Sandra;Blinder Stolz;Buch;DR.E;305;38
1207677;Benacquista, Tonino;Malavita;Buch;DR.D;305;39
1118113;Niebuhr, Ansgar;Prinzessin Lillifee und das kleine Einhorn;DVD;TT.JD.C;305;37
1018521;Sol, Mira;Jagd im Untergrund;Buch;JE.D;304;26
1069069;Dietl, Erhard;¬Die¬ spannendsten Vampirgeschichten für Erstleser;Buch;JM.C;304;30
1112488;Mai, Manfred;Wilhelm Tell;Buch;JE.CO;304;39
1094618;Glattauer, Daniel;Mama, jetzt nicht!;Buch;PL.V;304;37
1000042;Grün, Max ¬von der¬;Vorstadtkrokodile;DVD;TT.JE;304;62
1213986;Giordano, Paolo;¬Der¬ menschliche Körper;Buch;DR;304;40
1160022;Ludwig, Bernhard;¬Die¬ "Morgen darf ich essen, was ich will"-Diät;Buch;VL.GE;303;36
1111462;Pantermüller, Alice;Alles voller Kaninchen;Buch;JE;303;29
1077965;Hula, Saskia;Attila - König der Angeber;Buch;JE;303;77
1045417;Gerritsen, Tess;Totengrund;Buch;DR.D;303;67
1086246;Schrocke, Kathrin;¬Die¬ Geistervilla;Buch;JM.C;303;28
1198438;Fossum, Karin;¬Eine¬ undankbare Frau;Buch;DR.D;303;28
0987654;Wandrey, Guido;Mein großes Kindergarten-Wimmelbuch;Buch;JD.T;302;33
1207660;Beinert, Claudia;¬Die¬ Herrin der Kathedrale;Buch;DR.H;302;39
1196588;Lorentz, Iny;Flammen des Himmels;Buch;DR.H;302;39
1168576;Twain, Mark;Tom Sawyers Abenteuer;Buch;JE.CO;302;41
1151209;Jolibois, Christian;¬Ein¬ Hendlhof in den Sternen;Buch;JD.R;302;43
1183683;Rebhandl, Manfred;In der Hölle ist für alle Platz;Buch;DR.D;301;41
1042330;Scharenberg, Lucy;Marie und der Ferienhund;Buch;JE.C;301;30
1140138;Glitz, Angelika;Pirat Seewolf lernt lesen;Buch;JE.C;301;29
1153198;Ahern, Cecelia;Hundert Namen;Buch;DR.G;301;42
1177593;Lindgren, Astrid;Wir Kinder aus Bullerbü;Compact Disc;CD.JE;301;41
0588489;Rowling, Joanne K.;Harry Potter und der Orden des Phönix;Buch;JM.H;300;42
1239416;Haas, Wolf;Brennerova;Buch;DR.D;300;47
1177507;Braun, Gabriele ¬von¬;Abgehakt;Buch;DR.G;300;42
0971152;Mauz, Christoph;Angriff der Schrebergartenzombies;Buch;JM.G;300;87
1206337;Baldacci, David;Doppelspiel;Buch;DR.E;300;32
1186924;Gauß, Karl-Markus;¬Das¬ Erste, was ich sah;Buch;DR;300;34
0940025;Gehm, Franziska;¬Ein¬ zahnharter Auftrag;Buch;JM.G;300;33
1136092;Collodi, Carlo;Pinocchio;Buch;JM.CM;300;41
1234340;Dagtekin, Bora;Fack Ju Göhte;DVD;TT.KT.04;299;38
1190307;Loibelsberger, Gerhard;Todeswalzer;Buch;DR.DH;299;33
1213419;Peetz, Monika;¬Die¬ Dienstagsfrauen zwischen Kraut und Rüben;Buch;DR.G;299;30
1069075;Allert, Judith;Vampirgeschichten;Buch;JM.C;299;25
1095411;Mangold, Erni;Lassen Sie mich in Ruhe;Buch;KT.O;299;38
1137644;Seethaler, Robert;¬Der¬ Trafikant;Buch;DR;299;43
1197203;Scholler, Christiane;Er war mein Urgroßvater;Buch;GE.H;299;39
1201429;Jolibois, Christian;Pallawatsch auf dem Hendlhof;Buch;JD.R;298;40
1089029;Durme, Leen ¬van¬;Zuhause!;Buch;JD.K;298;44
1022994;Mitgutsch, Ali;Mein schönstes Wimmel-Bilderbuch;Buch;JD.K;298;30
1232302;Neuhaus, Nele;Sommer der Wahrheit;Buch;DR.G;298;41
1117036;Steffensmeier, Alexander;Schläfst du schon, Lieselotte?;Buch;JD.K;298;25
1198285;Wood, Barbara;Im Auge der Sonne;Buch;DR.H;298;39
1195473;Fitz, Florian David;Jesus liebt mich;DVD;TT.KT.15;297;42
1137257;Pantermüller, Alice;Wie belämmert ist das denn?;Buch;JE;297;30
1181811;Crombie, Deborah;Wer Blut vergießt;Buch;DR.D;297;27
0703470;Chapman, Linda;Lauras Zauberritt;Buch;JE.NP;297;29
